Repository,CBO,DIT,LCOM,Code Lines,Comment Lines,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars
jenkins,5,1,43,377691,238043,2010-11-22 21:21:23 +0000 UTC,2022-09-13 19:10:50 +0000 UTC,Java,205,5296,0,0,No Releases,19460
bazel,8,1,65,1331086,321361,2014-06-12 16:00:38 +0000 UTC,2022-09-13 16:43:09 +0000 UTC,Java,170,259,2418,7772,No Releases,19376
DoKit,4,1,71,189622,46000,2018-08-14 10:32:07 +0000 UTC,2022-09-13 13:26:54 +0000 UTC,Java,10,339,165,473,No Releases,19029
eladmin,7,1,6,14395,8580,2018-12-14 08:54:24 +0000 UTC,2022-09-13 13:15:45 +0000 UTC,Java,0,71,21,590,No Releases,18692
PhotoView,4,1,24,2426,402,2012-07-17 16:39:00 +0000 UTC,2022-09-13 01:38:10 +0000 UTC,Java,5,54,184,476,No Releases,18328
rocketmq,6,1,80,192721,37085,2016-11-30 08:00:08 +0000 UTC,2022-09-13 17:48:06 +0000 UTC,Java,7,1267,468,2061,No Releases,18056
FizzBuzzEnterpriseEdition,2,1,0,1745,762,2012-11-24 00:14:41 +0000 UTC,2022-09-13 13:35:37 +0000 UTC,Java,0,56,397,82,No Releases,17934
GSYVideoPlayer,5,1,58,40564,7035,2016-11-13 12:34:31 +0000 UTC,2022-09-13 14:40:15 +0000 UTC,Java,40,39,16,3423,No Releases,17797
mybatis-3,3,1,21,107029,32755,2013-02-14 19:03:32 +0000 UTC,2022-09-13 11:43:03 +0000 UTC,Java,37,985,152,1049,No Releases,17679
graal,6,2,95,1444368,554489,2016-01-14 17:11:35 +0000 UTC,2022-09-13 17:56:24 +0000 UTC,Java,32,1023,837,2321,No Releases,17451
litemall,4,1,1532,152367,47621,2018-03-22 16:42:30 +0000 UTC,2022-09-13 03:00:15 +0000 UTC,Java,8,98,23,324,No Releases,17362
shardingsphere,6,1,22,477468,184747,2016-01-18 12:49:26 +0000 UTC,2022-09-13 15:17:38 +0000 UTC,Java,49,11913,487,7377,No Releases,17305
leetcode,2,1,0,4342,386,2018-09-16 14:03:03 +0000 UTC,2022-09-13 19:00:50 +0000 UTC,Java,19,735,0,22,No Releases,17255
HikariCP,4,1,193,14750,3585,2013-10-08 05:43:03 +0000 UTC,2022-09-13 12:46:55 +0000 UTC,Java,0,204,361,1233,No Releases,17239
cat,5,1,23,665485,62823,2012-12-05 02:31:48 +0000 UTC,2022-09-13 08:59:24 +0000 UTC,Java,3,895,113,1067,No Releases,17151
SpringCloudLearning,4,1,0,46881,781,2017-04-08 10:06:56 +0000 UTC,2022-09-12 01:33:25 +0000 UTC,Java,0,0,36,12,No Releases,16867
fresco,6,1,24,756646,44504,2015-03-02 09:58:04 +0000 UTC,2022-09-13 07:41:46 +0000 UTC,Java,45,83,186,2060,No Releases,16853
Android-Universal-Image-Loader,4,1,28,8299,5310,2011-11-27 18:48:23 +0000 UTC,2022-09-13 16:18:36 +0000 UTC,Java,0,51,443,773,No Releases,16794
tinker,4,1,26,42066,10992,2016-09-06 06:57:52 +0000 UTC,2022-09-13 10:02:18 +0000 UTC,Java,50,71,459,1069,No Releases,16530
zheng,4,1,340,214780,8143,2016-10-04 10:07:06 +0000 UTC,2022-09-13 08:21:57 +0000 UTC,Java,0,10,35,62,No Releases,16346
java8-tutorial,1,1,3,3389,351,2014-03-16 17:25:43 +0000 UTC,2022-09-13 15:29:45 +0000 UTC,Java,0,10,0,0,No Releases,15933
termux-app,5,1,55,29777,10811,2015-10-23 09:42:46 +0000 UTC,2022-09-13 19:09:35 +0000 UTC,Java,89,126,262,1862,No Releases,15626
Android-CleanArchitecture,5,1,6,3590,1771,2014-08-19 14:09:26 +0000 UTC,2022-09-13 18:11:22 +0000 UTC,Java,0,14,126,124,No Releases,15200
disruptor,4,1,26,19875,7121,2012-09-21 13:42:24 +0000 UTC,2022-09-13 07:04:28 +0000 UTC,Java,13,104,7,274,No Releases,15173
springboot-learning-example,4,1,2,6596,1710,2017-02-06 07:02:25 +0000 UTC,2022-09-13 15:01:39 +0000 UTC,Java,0,6,12,63,No Releases,15056
SpringBoot-Labs,4,1,1,66276,11204,2018-09-12 14:51:46 +0000 UTC,2022-09-13 14:32:20 +0000 UTC,Java,0,3,26,16,No Releases,15036
Apktool,6,1,67,13993,4169,2012-03-19 17:46:53 +0000 UTC,2022-09-13 19:13:51 +0000 UTC,Java,15,248,91,2396,No Releases,14800
SpringBoot-Learning,4,1,1,17585,1049,2016-08-21 03:39:06 +0000 UTC,2022-09-13 09:17:14 +0000 UTC,Java,0,1,34,14,No Releases,14698
CircleImageView,11,2,178,1027,46,2014-01-17 16:44:46 +0000 UTC,2022-09-13 18:03:16 +0000 UTC,Java,0,14,15,351,No Releases,14284
elasticsearch-analysis-ik,4,1,17,3367,1373,2011-12-16 09:01:45 +0000 UTC,2022-09-13 08:57:01 +0000 UTC,Java,176,51,330,537,No Releases,14276
material-components-android,7,1,75,151861,62586,2016-12-05 16:11:29 +0000 UTC,2022-09-13 14:31:17 +0000 UTC,Java,59,13,366,2077,No Releases,13939
ARouter,3,1,17,6519,1658,2016-12-14 01:27:49 +0000 UTC,2022-09-13 02:47:07 +0000 UTC,Java,16,79,86,779,No Releases,13934
presto,8,1,66,1205218,178114,2012-08-09 01:03:37 +0000 UTC,2022-09-13 18:04:58 +0000 UTC,Java,0,8694,808,4245,No Releases,13886
QMUI_Android,5,1,35,79979,13323,2017-04-21 10:03:18 +0000 UTC,2022-09-13 18:00:06 +0000 UTC,Java,35,21,407,702,No Releases,13776
APIJSON,5,1,672,13814,3604,2016-11-21 12:03:29 +0000 UTC,2022-09-13 07:03:42 +0000 UTC,Java,89,82,140,205,No Releases,13750
JustAuth,5,1,13,9954,3037,2019-01-31 09:42:20 +0000 UTC,2022-09-13 09:55:50 +0000 UTC,Java,45,56,28,54,No Releases,13742
