Repository,CBO,DIT,LCOM,Code Lines,Comment Lines
android-lifecycle,7,1,151,9630,44
android-maps-utils,6,1,30,20029,8600
android-mvp-architecture,5,1,14,7599,2744
android-mvp-mvvm-flytour,2,1,9,22186,2739
android-mvvm-architecture,5,1,11,6608,2595
android-pathview,5,1,9,2202,513
android-pdfview,3,1,24,4235,911
android-percent-support-lib-sample,5,1,7,1110,143
android-priority-jobqueue,4,1,10,15790,1771
android-process-button,5,1,25,1641,186
android-saripaar,5,1,11,8786,5139
android-stackblur,1,1,0,2185,293
android-times-square,4,1,25,3726,411
android-tips-tricks,1,1,0,1220,30
android-viewbadger,4,1,32,994,173
android-vision,5,1,2,7291,3833
android-volley,5,1,15,5757,3053
android-zxingLibrary,4,1,5,3617,913
androidannotations,5,1,26,42852,23822
androidmvp,3,1,3,1232,186
angel,7,1,65,295116,61306
animate,6,2,4,4069,242
ansj_seg,6,1,9,671308,2920
anthelion,8,1,10,251989,34100
antlr4,5,1,42,183246,69406
api-samples,6,1,4,12942,4868
apollo,5,1,10,108523,24909
archi,5,1,1,3446,106
armeria,6,1,37,407751,104811
arthas,4,1,39,116821,16549
async-http-client,5,1,42,34816,9214
atlas,5,1,29,523298,247554
atmosphere,5,1,49,44015,17656
aurora-imui,4,1,50,52125,4388
aviatorscript,4,1,61,41754,11373
awaitility,3,1,13,7492,4011
awesome-java-leetcode,1,1,1,6167,940
aws-doc-sdk-examples,6,1,3,656171,114176
azkaban,6,1,33,174602,37442
banner,6,1,47,4651,628
barcodescanner,5,1,11,4158,179
baritone,6,1,19,21880,10419
baseAdapter,4,1,18,2940,203
bazel,8,1,65,1331086,321361
beam,7,1,17,1707272,357245
bilibili-android-client,4,1,42,36746,3179
binnavi,6,1,26,2144745,173222
bisq,7,1,30,280222,65632
bistoury,4,1,21,127186,28213
bitcoin-wallet,7,1,6,41405,3498
bitcoinj,7,1,120,74802,35028
blade,4,1,41,20325,6464
blog_demos,4,1,15,175835,44651
blueocean-plugin,7,1,16,258913,15422
blurkit-android,6,1,30,1149,184
booksource,3,1,1,8511,491
bottomsheet,4,1,27,3118,698
boxing,6,1,20,7913,2632
brigadier,6,1,46,5718,451
btrace,4,1,102,48995,19511
butterknife,3,1,10,16077,907
byte-buddy,6,1,15,185556,84223
bytecode-viewer,4,2,12,39126,8264
caffeine,4,1,143,82231,19740
calcite,7,1,272,443168,138198
camel,4,1,70,2023988,939309
cameraview,4,1,12,28771,6603
camunda-bpm-platform,6,1,85,1094047,283371
canal,5,1,75,106952,19795
cardslib,5,2,18,47297,24686
cas,9,1,7,443795,91884
cassandra,6,1,60,980602,149048
cat,5,1,23,665485,62823
cglib,3,1,261,15896,4424
chuck,5,1,55,3154,717
chunjun,7,1,31,192719,32668
cim,4,1,18,8094,1985
circular-progress-button,3,1,25,2323,148
citypicker,3,1,30,3003,179
clojure,3,1,133,75576,14559
closure-compiler,6,1,1289,518407,411118
cobar,4,1,40,81427,22676
concurrent,0,0,0,4569,5
conductor,7,1,81,14130,1198
config,5,2,75,23579,5581
coursera-android,4,1,3,46487,3821
crate,7,1,43,560602,161470
crawler4j,5,1,55,9427,2453
