Name,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars,Url
packer-ng-plugin,2015-11-24 04:08:08 +0000 UTC,2022-09-01 11:21:12 +0000 UTC,Java,1,6,20,132,2017-03-02T10:33:51Z,4809,https://github.com/mcxiaoke/packer-ng-plugin
uid-generator,2017-03-27 04:03:43 +0000 UTC,2022-09-13 05:02:18 +0000 UTC,Java,0,2,19,40,No Releases,4782,https://github.com/baidu/uid-generator
AndroidStaggeredGrid,2013-12-09 19:43:45 +0000 UTC,2022-09-13 06:38:02 +0000 UTC,Java,7,24,99,66,2014-07-01T04:11:24Z,4776,https://github.com/etsy/AndroidStaggeredGrid
JS-Sorting-Algorithm,2017-01-19 11:36:21 +0000 UTC,2022-09-13 15:26:00 +0000 UTC,Java,0,18,4,19,No Releases,4770,https://github.com/hustcc/JS-Sorting-Algorithm
conductor,2016-12-07 22:48:42 +0000 UTC,2022-09-13 16:27:17 +0000 UTC,Java,308,1079,66,1320,2022-09-10T07:44:28Z,4766,https://github.com/Netflix/conductor
cameraview,2016-08-04 05:22:14 +0000 UTC,2022-09-13 09:19:59 +0000 UTC,Java,0,15,148,57,No Releases,4747,https://github.com/google/cameraview
Android-ConvenientBanner,2014-12-23 06:12:33 +0000 UTC,2022-09-13 01:36:25 +0000 UTC,Java,0,7,89,269,No Releases,4745,https://github.com/saiwu-bigkoo/Android-ConvenientBanner
opentsdb,2010-08-27 02:05:20 +0000 UTC,2022-09-12 08:04:31 +0000 UTC,Java,26,584,508,576,2021-09-02T22:27:11Z,4726,https://github.com/OpenTSDB/opentsdb
CloudReader,2016-11-20 11:59:25 +0000 UTC,2022-09-13 07:13:26 +0000 UTC,Java,25,1,6,116,2021-11-09T15:07:42Z,4721,https://github.com/youlookwhat/CloudReader
ActiveAndroid,2012-11-15 18:10:45 +0000 UTC,2022-09-09 06:39:58 +0000 UTC,Java,0,59,285,144,No Releases,4716,https://github.com/pardom-zz/ActiveAndroid
cardslib,2013-09-20 21:57:19 +0000 UTC,2022-09-06 07:17:59 +0000 UTC,Java,27,12,168,345,2014-11-12T08:12:13Z,4714,https://github.com/gabrielemariotti/cardslib
lettuce-core,2014-05-10 13:08:46 +0000 UTC,2022-09-13 16:21:36 +0000 UTC,Java,101,72,75,1723,2022-07-12T12:25:56Z,4705,https://github.com/lettuce-io/lettuce-core
FastBle,2016-08-23 02:06:33 +0000 UTC,2022-09-13 07:41:24 +0000 UTC,Java,9,4,216,325,2021-09-13T07:40:46Z,4705,https://github.com/Jasonchenlijian/FastBle
okdownload,2017-12-17 08:21:22 +0000 UTC,2022-09-13 03:32:06 +0000 UTC,Java,8,28,232,212,2019-12-24T06:17:48Z,4703,https://github.com/lingochamp/okdownload
baseAdapter,2015-08-03 02:55:51 +0000 UTC,2022-09-13 03:50:40 +0000 UTC,Java,0,0,108,17,No Releases,4690,https://github.com/hongyangAndroid/baseAdapter
drools,2011-02-18 08:37:05 +0000 UTC,2022-09-13 08:05:10 +0000 UTC,Java,0,3557,0,0,No Releases,4652,https://github.com/kiegroup/drools
google-java-format,2015-05-11 20:38:28 +0000 UTC,2022-09-12 08:16:59 +0000 UTC,Java,17,176,89,342,2022-03-07T16:52:10Z,4650,https://github.com/google/google-java-format
MaterialDateTimePicker,2015-01-03 19:41:03 +0000 UTC,2022-09-13 06:20:58 +0000 UTC,Java,54,45,81,506,2019-08-30T10:38:02Z,4646,https://github.com/wdullaer/MaterialDateTimePicker
hbase,2014-05-23 07:00:07 +0000 UTC,2022-09-12 02:05:01 +0000 UTC,Java,26,3572,0,0,2022-08-31T12:38:09Z,4632,https://github.com/apache/hbase
groovy,2015-04-16 07:00:05 +0000 UTC,2022-09-12 22:58:33 +0000 UTC,Java,0,695,0,0,No Releases,4630,https://github.com/apache/groovy
spring-cloud-netflix,2014-07-11 15:46:12 +0000 UTC,2022-09-12 10:32:12 +0000 UTC,Java,2,504,75,3070,2018-10-15T20:44:32Z,4628,https://github.com/spring-cloud/spring-cloud-netflix
android-tips-tricks,2016-08-25 20:27:33 +0000 UTC,2022-09-10 04:20:52 +0000 UTC,Java,0,14,2,10,No Releases,4620,https://github.com/nisrulz/android-tips-tricks
sqlbrite,2015-02-19 04:38:37 +0000 UTC,2022-09-06 03:12:01 +0000 UTC,Java,9,111,5,121,2016-03-01T18:23:03Z,4620,https://github.com/square/sqlbrite
chuck,2017-02-07 23:51:39 +0000 UTC,2022-09-12 17:41:15 +0000 UTC,Java,5,8,44,31,2017-02-22T18:13:21Z,4612,https://github.com/jgilfelt/chuck
spring-security-oauth,2011-07-26 18:08:49 +0000 UTC,2022-09-08 03:45:40 +0000 UTC,Java,0,37,546,933,No Releases,4607,https://github.com/spring-attic/spring-security-oauth
sofa-boot,2018-04-02 08:28:14 +0000 UTC,2022-09-12 23:58:27 +0000 UTC,Java,55,516,33,356,2022-07-29T03:44:54Z,4603,https://github.com/sofastack/sofa-boot
v9porn,2018-04-12 14:32:04 +0000 UTC,2022-09-11 14:10:57 +0000 UTC,Java,9,7,69,165,2021-04-22T16:06:39Z,4597,https://github.com/techGay/v9porn
go-lang-idea-plugin,2010-08-29 08:20:01 +0000 UTC,2022-09-12 07:53:49 +0000 UTC,Java,21,473,408,1857,2016-04-11T18:21:51Z,4597,https://github.com/go-lang-plugin-org/go-lang-idea-plugin
SwitchButton,2014-09-09 07:20:43 +0000 UTC,2022-09-08 11:08:27 +0000 UTC,Java,0,6,19,100,No Releases,4588,https://github.com/kyleduo/SwitchButton
janusgraph,2016-12-26 13:26:29 +0000 UTC,2022-09-13 15:29:09 +0000 UTC,Java,21,1226,435,992,2022-05-31T08:57:33Z,4585,https://github.com/JanusGraph/janusgraph
spring-data-examples,2014-01-30 15:42:43 +0000 UTC,2022-09-13 06:58:59 +0000 UTC,Java,0,50,20,436,No Releases,4583,https://github.com/spring-projects/spring-data-examples
SimplifyReader,2015-08-17 08:22:53 +0000 UTC,2022-09-06 03:12:07 +0000 UTC,Java,0,11,40,46,No Releases,4578,https://github.com/chentao0707/SimplifyReader
Depth-LIB-Android-,2016-04-27 09:37:28 +0000 UTC,2022-09-10 19:02:21 +0000 UTC,Java,0,7,11,5,No Releases,4576,https://github.com/danielzeller/Depth-LIB-Android-
JAViewer,2016-05-21 08:47:10 +0000 UTC,2022-09-09 04:52:46 +0000 UTC,Java,10,5,42,280,2018-12-04T15:58:14Z,4569,https://github.com/SplashCodes/JAViewer
mapdb,2012-08-17 15:28:54 +0000 UTC,2022-09-13 13:21:07 +0000 UTC,Java,0,69,157,731,No Releases,4560,https://github.com/jankotek/mapdb
springboot-guide,2018-11-28 01:05:07 +0000 UTC,2022-09-12 09:37:31 +0000 UTC,Java,0,10,11,15,No Releases,4554,https://github.com/CodingDocs/springboot-guide
PLDroidPlayer,2015-06-02 04:41:29 +0000 UTC,2022-09-13 10:31:09 +0000 UTC,Java,42,63,364,859,2022-06-23T08:07:20Z,4553,https://github.com/pili-engineering/PLDroidPlayer
PageIndicatorView,2016-08-20 19:25:32 +0000 UTC,2022-09-12 18:51:59 +0000 UTC,Java,14,14,40,70,2018-11-06T19:38:57Z,4547,https://github.com/romandanylyk/PageIndicatorView
bottomsheet,2015-04-23 17:37:32 +0000 UTC,2022-09-06 03:12:10 +0000 UTC,Java,10,44,50,93,2016-11-29T19:37:39Z,4542,https://github.com/Flipboard/bottomsheet
gnirehtet,2017-02-09 16:01:13 +0000 UTC,2022-09-13 09:57:57 +0000 UTC,Java,11,2,207,224,2020-08-16T19:05:02Z,4541,https://github.com/Genymobile/gnirehtet
android-crop,2014-03-13 10:24:43 +0000 UTC,2022-09-02 16:15:16 +0000 UTC,Java,6,25,106,125,2015-09-09T09:58:34Z,4537,https://github.com/jdamcd/android-crop
api-samples,2013-12-09 18:41:41 +0000 UTC,2022-09-13 12:31:47 +0000 UTC,Java,0,15,252,34,No Releases,4526,https://github.com/youtube/api-samples
Douya,2016-02-01 13:44:19 +0000 UTC,2022-09-07 11:01:28 +0000 UTC,Java,11,0,17,94,2018-05-18T21:37:16Z,4520,https://github.com/zhanghai/Douya
Luyten,2013-07-11 10:57:28 +0000 UTC,2022-09-13 10:38:19 +0000 UTC,Java,17,25,160,105,2019-06-06T20:02:49Z,4518,https://github.com/deathmarine/Luyten
camel,2009-05-21 00:25:36 +0000 UTC,2022-09-13 13:55:05 +0000 UTC,Java,0,5465,0,0,No Releases,4515,https://github.com/apache/camel
NineOldAndroids,2011-12-08 19:46:37 +0000 UTC,2022-09-08 12:55:31 +0000 UTC,Java,0,5,30,36,No Releases,4512,https://github.com/JakeWharton/NineOldAndroids
orientdb,2012-12-09 20:33:47 +0000 UTC,2022-09-13 02:08:17 +0000 UTC,Java,190,650,228,8639,2022-08-30T10:57:26Z,4503,https://github.com/orientechnologies/orientdb
lamp-cloud,2018-01-17 02:51:04 +0000 UTC,2022-09-13 14:43:51 +0000 UTC,Java,0,1,5,95,No Releases,4480,https://github.com/zuihou/lamp-cloud
gpmall,2019-07-18 14:09:22 +0000 UTC,2022-09-13 09:39:12 +0000 UTC,Java,0,125,38,11,No Releases,4466,https://github.com/2227324689/gpmall
bilibili-android-client,2016-06-01 04:36:01 +0000 UTC,2022-09-12 13:04:28 +0000 UTC,Java,1,1,8,59,2017-07-04T06:50:36Z,4462,https://github.com/HotBitmapGG/bilibili-android-client
cglib,2014-03-29 13:48:30 +0000 UTC,2022-09-13 03:09:07 +0000 UTC,Java,15,51,65,48,2019-08-12T14:28:11Z,4457,https://github.com/cglib/cglib
reactive-streams-jvm,2014-02-28 13:16:15 +0000 UTC,2022-09-13 05:16:59 +0000 UTC,Java,0,232,12,246,No Releases,4449,https://github.com/reactive-streams/reactive-streams-jvm
hive,2009-05-21 02:31:01 +0000 UTC,2022-09-13 04:24:27 +0000 UTC,Java,0,1512,0,0,No Releases,4447,https://github.com/apache/hive
quasar,2013-03-27 14:51:24 +0000 UTC,2022-09-12 19:08:56 +0000 UTC,Java,18,35,86,196,2018-11-02T17:50:28Z,4445,https://github.com/puniverse/quasar
dexposed,2015-06-30 02:59:16 +0000 UTC,2022-09-09 14:06:55 +0000 UTC,Java,0,3,21,53,No Releases,4445,https://github.com/alibaba/dexposed
android-times-square,2013-01-30 20:28:27 +0000 UTC,2022-09-07 06:43:59 +0000 UTC,Java,0,111,35,310,No Releases,4435,https://github.com/square/android-times-square
SmoothProgressBar,2013-11-27 20:32:16 +0000 UTC,2022-09-06 03:12:19 +0000 UTC,Java,9,16,11,74,2017-08-27T15:13:41Z,4433,https://github.com/castorflex/SmoothProgressBar
FirebaseUI-Android,2015-07-09 17:31:09 +0000 UTC,2022-09-11 06:24:23 +0000 UTC,Java,64,677,94,1127,2022-03-29T22:37:37Z,4432,https://github.com/firebase/FirebaseUI-Android
JavaBooks,2020-10-10 00:48:06 +0000 UTC,2022-09-13 07:33:02 +0000 UTC,Java,0,0,0,11,No Releases,4422,https://github.com/itwanger/JavaBooks
AntennaPod,2012-07-31 10:25:08 +0000 UTC,2022-09-13 18:33:17 +0000 UTC,Java,47,2273,205,3202,2022-07-30T15:05:46Z,4420,https://github.com/AntennaPod/AntennaPod
CameraView,2017-07-18 09:30:33 +0000 UTC,2022-09-13 02:42:14 +0000 UTC,Java,42,184,42,915,2021-10-27T18:35:55Z,4419,https://github.com/natario1/CameraView
views-widgets-samples,2019-09-06 21:39:12 +0000 UTC,2022-09-13 14:29:13 +0000 UTC,Java,0,47,156,19,No Releases,4411,https://github.com/android/views-widgets-samples
bitcoinj,2013-11-19 04:33:23 +0000 UTC,2022-09-13 05:24:16 +0000 UTC,Java,1,307,297,837,2014-02-04T10:43:32Z,4407,https://github.com/bitcoinj/bitcoinj
Spring-Boot-In-Action,2019-01-28 12:56:51 +0000 UTC,2022-09-13 05:15:05 +0000 UTC,Java,0,1,5,10,No Releases,4399,https://github.com/hansonwang99/Spring-Boot-In-Action
SpringBootVulExploit,2020-05-20 09:18:44 +0000 UTC,2022-09-13 15:48:41 +0000 UTC,Java,0,0,2,4,No Releases,4398,https://github.com/LandGrey/SpringBootVulExploit
DependencyCheck,2012-09-03 20:43:30 +0000 UTC,2022-09-13 13:13:34 +0000 UTC,Java,34,1377,361,2839,2022-08-20T10:54:58Z,4398,https://github.com/jeremylong/DependencyCheck
android-mvp-architecture,2017-01-27 08:39:06 +0000 UTC,2022-09-13 05:18:44 +0000 UTC,Java,0,12,33,41,No Releases,4385,https://github.com/MindorksOpenSource/android-mvp-architecture
roncoo-pay,2016-07-21 02:46:06 +0000 UTC,2022-09-13 05:04:25 +0000 UTC,Java,0,5,22,7,No Releases,4369,https://github.com/roncoo/roncoo-pay
javaparser,2011-10-30 14:03:44 +0000 UTC,2022-09-12 16:36:08 +0000 UTC,Java,34,1358,458,1535,2022-07-11T18:08:28Z,4357,https://github.com/javaparser/javaparser
shopping-management-system,2015-11-16 12:53:21 +0000 UTC,2022-09-13 08:37:45 +0000 UTC,Java,0,0,16,9,No Releases,4357,https://github.com/zhanglei-workspace/shopping-management-system
spring-boot-projects,2017-04-01 01:50:14 +0000 UTC,2022-09-13 15:28:35 +0000 UTC,Java,0,8,1,9,No Releases,4350,https://github.com/ZHENFENG13/spring-boot-projects
JGrowing,2019-02-26 01:55:08 +0000 UTC,2022-09-13 15:58:48 +0000 UTC,Java,0,14,15,8,No Releases,4349,https://github.com/javagrowing/JGrowing
android-volley,2013-05-21 05:35:26 +0000 UTC,2022-09-08 12:50:19 +0000 UTC,Java,0,8,61,78,No Releases,4330,https://github.com/mcxiaoke/android-volley
BottomNavigation,2016-03-19 19:19:30 +0000 UTC,2022-09-11 13:25:17 +0000 UTC,Java,16,18,25,175,2018-07-10T04:25:48Z,4327,https://github.com/Ashok-Varma/BottomNavigation
ribbon,2013-01-15 01:08:04 +0000 UTC,2022-09-13 14:54:15 +0000 UTC,Java,41,186,175,77,2021-08-05T18:04:35Z,4318,https://github.com/Netflix/ribbon
crawler4j,2011-12-31 22:49:18 +0000 UTC,2022-09-12 06:39:16 +0000 UTC,Java,3,90,142,142,2018-03-26T18:39:01Z,4312,https://github.com/yasserg/crawler4j
thumbnailator,2015-07-25 05:38:33 +0000 UTC,2022-09-12 11:38:49 +0000 UTC,Java,0,0,49,141,No Releases,4312,https://github.com/coobird/thumbnailator
GT,2016-01-13 10:29:55 +0000 UTC,2022-09-13 06:22:35 +0000 UTC,Java,3,3,67,22,2018-01-24T03:14:13Z,4306,https://github.com/Tencent/GT
leet-code,2015-04-25 19:14:09 +0000 UTC,2022-09-13 05:15:17 +0000 UTC,Java,0,1,0,9,No Releases,4298,https://github.com/awangdev/leet-code
BGARefreshLayout-Android,2015-05-28 16:17:00 +0000 UTC,2022-09-13 10:57:24 +0000 UTC,Java,4,22,95,63,2015-06-14T13:29:30Z,4296,https://github.com/bingoogolapple/BGARefreshLayout-Android
HMCL,2015-06-22 08:06:03 +0000 UTC,2022-09-13 17:46:08 +0000 UTC,Java,181,309,123,1188,2022-08-21T13:29:09Z,4290,https://github.com/huanghongxun/HMCL
coursera-android,2014-01-05 09:55:31 +0000 UTC,2022-09-13 09:45:30 +0000 UTC,Java,0,5,46,19,No Releases,4281,https://github.com/aporter/coursera-android
ticker,2016-07-15 21:37:52 +0000 UTC,2022-09-13 11:26:01 +0000 UTC,Java,9,49,13,64,2019-08-01T16:46:47Z,4274,https://github.com/robinhood/ticker
reactor-core,2015-11-10 10:06:40 +0000 UTC,2022-09-13 10:31:29 +0000 UTC,Java,124,1304,55,1509,2022-09-13T11:13:57Z,4272,https://github.com/reactor/reactor-core
rocketmq-externals,2017-03-14 07:00:06 +0000 UTC,2022-09-11 16:20:25 +0000 UTC,Java,0,276,68,407,No Releases,4271,https://github.com/apache/rocketmq-externals
ignite,2015-02-19 08:00:05 +0000 UTC,2022-09-13 09:13:02 +0000 UTC,Java,0,1454,0,0,No Releases,4263,https://github.com/apache/ignite
web3j,2016-09-04 05:48:49 +0000 UTC,2022-09-13 09:36:14 +0000 UTC,Java,98,483,195,863,2022-07-21T14:28:14Z,4256,https://github.com/web3j/web3j
reflections,2013-04-16 16:19:26 +0000 UTC,2022-09-13 17:37:19 +0000 UTC,Java,3,70,104,159,2021-10-25T14:18:04Z,4251,https://github.com/ronmamo/reflections
ImagePicker,2016-01-27 17:05:03 +0000 UTC,2022-09-04 01:46:34 +0000 UTC,Java,5,9,160,120,2017-04-05T06:37:37Z,4251,https://github.com/jeasonlzy/ImagePicker
Android-IMSI-Catcher-Detector,2013-11-23 10:04:14 +0000 UTC,2022-09-12 19:10:21 +0000 UTC,Java,48,291,160,471,2016-05-01T21:59:40Z,4237,https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector
Robust,2017-03-14 10:14:50 +0000 UTC,2022-09-13 11:54:50 +0000 UTC,Java,13,79,147,230,2019-03-23T07:51:08Z,4231,https://github.com/Meituan-Dianping/Robust
YCSB,2010-04-19 20:52:11 +0000 UTC,2022-09-13 09:12:51 +0000 UTC,Java,55,446,218,690,2019-10-10T02:53:03Z,4225,https://github.com/brianfrankcooper/YCSB
Recaf,2017-07-27 06:01:10 +0000 UTC,2022-09-13 16:37:53 +0000 UTC,Java,168,173,68,325,2022-03-29T08:07:12Z,4224,https://github.com/Col-E/Recaf
linuxdeploy,2012-08-21 04:49:14 +0000 UTC,2022-09-13 09:52:20 +0000 UTC,Java,37,67,686,543,2020-01-19T22:26:39Z,4219,https://github.com/meefik/linuxdeploy
DeepLinkDispatch,2015-06-11 21:16:48 +0000 UTC,2022-09-11 20:48:36 +0000 UTC,Java,22,159,52,121,2022-03-09T01:23:32Z,4211,https://github.com/airbnb/DeepLinkDispatch
xpay,2017-12-12 16:11:19 +0000 UTC,2022-09-11 16:01:28 +0000 UTC,Java,0,0,17,43,No Releases,4210,https://github.com/Exrick/xpay
libsvm,2013-09-10 14:32:07 +0000 UTC,2022-09-11 08:39:57 +0000 UTC,Java,0,0,77,48,No Releases,4200,https://github.com/cjlin1/libsvm
android-autofittextview,2011-02-14 06:00:52 +0000 UTC,2022-09-12 18:04:22 +0000 UTC,Java,1,6,46,35,2015-03-10T05:04:05Z,4199,https://github.com/grantland/android-autofittextview
pinot,2014-05-19 23:27:48 +0000 UTC,2022-09-13 18:31:29 +0000 UTC,Java,16,6882,864,746,2022-09-08T00:26:57Z,4184,https://github.com/apache/pinot
DKVideoPlayer,2017-04-11 01:33:38 +0000 UTC,2022-09-12 10:16:05 +0000 UTC,Java,32,14,56,718,2022-07-24T10:46:10Z,4170,https://github.com/Doikki/DKVideoPlayer
